Economy,Code,Region,Income group,Lending category,Column1
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,
Denmark,DNK,Europe & Central Asia,High income,,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD,
Algeria,DZA,Middle East & North Africa,Lower middle income,IBRD,
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,IBRD,
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA,
Spain,ESP,Europe & Central Asia,High income,,
Estonia,EST,Europe & Central Asia,High income,,
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA,
Finland,FIN,Europe & Central Asia,High income,,
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend,
France,FRA,Europe & Central Asia,High income,,
Faroe Islands,FRO,Europe & Central Asia,High income,,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,IDA,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD,
United Kingdom,GBR,Europe & Central Asia,High income,,
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA,
Gibraltar,GIB,Europe & Central Asia,High income,,
Guinea,GIN,Sub-Saharan Africa,Lower middle income,IDA,
"Gambia, The",GMB,Sub-Saharan Africa,Low income,IDA,
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,IDA,
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD,
Greece,GRC,Europe & Central Asia,High income,,
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend,
Greenland,GRL,Europe & Central Asia,High income,,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD,
Guam,GUM,East Asia & Pacific,High income,,
Guyana,GUY,Latin America & Caribbean,High income,IDA,
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,,
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA,
Croatia,HRV,Europe & Central Asia,High income,IBRD,
Haiti,HTI,Latin America & Caribbean,Lower middle income,IDA,
Hungary,HUN,Europe & Central Asia,High income,,
Indonesia,IDN,East Asia & Pacific,Upper middle income,IBRD,
Isle of Man,IMN,Europe & Central Asia,High income,,
India,IND,South Asia,Lower middle income,IBRD,
Ireland,IRL,Europe & Central Asia,High income,,
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,IBRD,
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD,
Iceland,ISL,Europe & Central Asia,High income,,
Israel,ISR,Middle East & North Africa,High income,,
Italy,ITA,Europe & Central Asia,High income,,
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD,
Jordan,JOR,Middle East & North Africa,Lower middle income,IBRD,
Japan,JPN,East Asia & Pacific,High income,,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD,
