"Economy","Code","Region","Income group","Lending category","Column1"
"Faroe Islands","FRO","Europe & Central Asia","High income",NA,NA
"Micronesia, Fed. Sts.","FSM","East Asia & Pacific","Lower middle income","IDA",NA
"Gabon","GAB","Sub-Saharan Africa","Upper middle income","IBRD",NA
"United Kingdom","GBR","Europe & Central Asia","High income",NA,NA
"Georgia","GEO","Europe & Central Asia","Upper middle income","IBRD",NA
"Ghana","GHA","Sub-Saharan Africa","Lower middle income","IDA",NA
"Gibraltar","GIB","Europe & Central Asia","High income",NA,NA
"Guinea","GIN","Sub-Saharan Africa","Lower middle income","IDA",NA
"Gambia, The","GMB","Sub-Saharan Africa","Low income","IDA",NA
"Guinea-Bissau","GNB","Sub-Saharan Africa","Low income","IDA",NA
"Equatorial Guinea","GNQ","Sub-Saharan Africa","Upper middle income","IBRD",NA
"Greece","GRC","Europe & Central Asia","High income",NA,NA
"Grenada","GRD","Latin America & Caribbean","Upper middle income","Blend",NA
"Greenland","GRL","Europe & Central Asia","High income",NA,NA
"Guatemala","GTM","Latin America & Caribbean","Upper middle income","IBRD",NA
"Guam","GUM","East Asia & Pacific","High income",NA,NA
"Guyana","GUY","Latin America & Caribbean","High income","IDA",NA
"Hong Kong SAR, China","HKG","East Asia & Pacific","High income",NA,NA
"Honduras","HND","Latin America & Caribbean","Lower middle income","IDA",NA
"Croatia","HRV","Europe & Central Asia","High income","IBRD",NA
"Haiti","HTI","Latin America & Caribbean","Lower middle income","IDA",NA
"Hungary","HUN","Europe & Central Asia","High income",NA,NA
"Indonesia","IDN","East Asia & Pacific","Upper middle income","IBRD",NA
"Isle of Man","IMN","Europe & Central Asia","High income",NA,NA
"India","IND","South Asia","Lower middle income","IBRD",NA
"Ireland","IRL","Europe & Central Asia","High income",NA,NA
"Iran, Islamic Rep.","IRN","Middle East & North Africa","Lower middle income","IBRD",NA
"Iraq","IRQ","Middle East & North Africa","Upper middle income","IBRD",NA
"Iceland","ISL","Europe & Central Asia","High income",NA,NA
"Israel","ISR","Middle East & North Africa","High income",NA,NA
"Italy","ITA","Europe & Central Asia","High income",NA,NA
"Jamaica","JAM","Latin America & Caribbean","Upper middle income","IBRD",NA
"Jordan","JOR","Middle East & North Africa","Lower middle income","IBRD",NA
"Japan","JPN","East Asia & Pacific","High income",NA,NA
"Kazakhstan","KAZ","Europe & Central Asia","Upper middle income","IBRD",NA
